ET,ALIM,BARRA,TRAFO,SCADA
VILLA ATUEL,ARIZU,BARRA 1,TRAFO 1-2,VAT1CNFRZM0025
VILLA ATUEL,ATUEL NORTE,BARRA 1,TRAFO 1-2,VAT1CNFRZM0026
VILLA ATUEL,JAIME PRATS,BARRA 1,TRAFO 1-2,VAT1CNFRZM0024
VILLA ATUEL,LA GUEVARINA,BARRA 1,TRAFO 1-2,VAT1CNFRZM0837
VILLANUEVA,BGA DEL 900,BARRA 1,TRAFO 1,EVN1CNFRGM0438
VILLANUEVA,BOLIVIA SHOPPING,SHOPING,NA,SHO1CNFRGM0716
VILLANUEVA,CARREFOUR,BARRA 1,TRAFO 1,EVN1CNFRGM0437
VILLANUEVA,CARREFOUR SHOPPING,SHOPING,NA,SHO1CNFRGM0475
VILLANUEVA,CASTRO,BARRA 2,TRAFO 2,EVN1CNFRGM1814
VILLANUEVA,CEC,SHOPING,NA,SHO1CNFRGM0476
VILLANUEVA,CURUPAYTI,BARRA 1,TRAFO 1,EVN1CNFRGM0589
VILLANUEVA,FALABELLA,SHOPING,NA,SHO1CNFRGM0585
VILLANUEVA,HIGUERITAS,BARRA 1,TRAFO 1,EVN1CNFRGM0377
VILLANUEVA,HOTEL,SHOPING,NA,SHO1CNFRGM0937
VILLANUEVA,IBIS,SHOPING,NA,SHO1CNFRGM0721
VILLANUEVA,KLP,SHOPING,NA,KLP1CNFRGM1275
VILLANUEVA,LA FLORESTA,BARRA 2,TRAFO 2,EVN1CNFRGM0439
VILLANUEVA,LOCALES SHOPPING,SHOPING,NA,SHO1CNFRGM0719
VILLANUEVA,LOCALES SHOPPING 2,SHOPING,NA,SHO1CNFRGM0478
VILLANUEVA,MURIALDO,BARRA 1,TRAFO 1,EVN1CNFRGM0436
VILLANUEVA,NOTTI,SHOPING,NA,SHO1CNFRGM0473
VILLANUEVA,PEREZ CUESTA,SHOPING,NA,SHO1CNFRGM0715
VILLANUEVA,RODRIGUEZ PENA,BARRA 2,TRAFO 2,EVN1CNFRGM1626
VILLANUEVA,SHOPPING 1,BARRA 1,TRAFO 1,EVN1CNFRGM1623
VILLANUEVA,SHOPPING 2,BARRA 1,TRAFO 1,EVN1CNFRGM0445
VILLANUEVA,TAPON MOYANO,BARRA 2,TRAFO 2,EVN1CNFRGM0444
VILLANUEVA,URQUIZA,BARRA 1,TRAFO 1,EVN1CNFRGM0435
VILLANUEVA,VEA,SHOPING,NA,SHO1CNFRGM0477
VILLANUEVA,VILLAGE-NEVERLAND,SHOPING,NA,SHO1CNFRGM0474
ZAMPAL,ANCHAYUYO,BARRA 1,TRAFO 1,ZAM1CNFRTM0617
ZAMPAL,CAMPO VIDAL,BARRA 2,TRAFO 2,ZAM1CNFRTM0363
ZAMPAL,EL ZAMPAL,BARRA 2,TRAFO 2,ZAM1CNFRTM0351
ZAMPAL,LA ARBOLEDA,BARRA 1,TRAFO 1,ZAM1CNFRTM0373
ZAMPAL,LA GLORIA,BARRA 1,TRAFO 1,ZAM1CNFRTM1023
ZAMPAL,TUPUNGATO,BARRA 2,TRAFO 2,ZAM1CNFRTM0346
ZAPATA,CRUZ NEGRA,BARRA 1,TRAFO 1,ZAP1CNFRYM0269
ZAPATA,FURNO,BARRA 1,TRAFO 1,ZAP1CNFRTM1025
ZAPATA,IRIARTE,BARRA 1,TRAFO 1,ZAP1CNFRTM0535
ZAPATA,ZAMPALITO,BARRA 1,TRAFO 1,ZAP1CNFRYM0279
ZAPATA,ZAPATA,BARRA 1,TRAFO 1,ZAP1CNFRTM0324
